State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Papaya,Other,Medium,29/11/2024,4700,4800,4750
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),"Peas Wet","Peas Wet",FAQ,29/11/2024,6000,6200,6100
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Pineapple,Other,Medium,29/11/2024,6000,6200,6100
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Raddish,Raddish,FAQ,29/11/2024,1600,1700,1650
"Himachal Pradesh",Kangra,Palampur,Brinjal,Brinjal,FAQ,29/11/2024,2800,3000,2900
"Himachal Pradesh",Kangra,Palampur,"French Beans (Frasbean)",Other,FAQ,29/11/2024,2800,3000,2900
"Himachal Pradesh",Kangra,Palampur,Lemon,Other,FAQ,29/11/2024,8800,9000,8900
"Himachal Pradesh",Kangra,Palampur,Methi(Leaves),Other,FAQ,29/11/2024,4800,5000,4900
"Himachal Pradesh",Kangra,Palampur,Orange,Other,Medium,29/11/2024,6400,6500,6450
"Himachal Pradesh",Kangra,Palampur,Tinda,Tinda,FAQ,29/11/2024,5000,5500,5200
"Himachal Pradesh",Kangra,Palampur,Tomato,Tomato,FAQ,29/11/2024,4000,4200,4100
Kerala,Alappuzha,Harippad,Ashgourd,Other,FAQ,29/11/2024,3000,3500,3000
Kerala,Alappuzha,Harippad,"Bitter gourd",Other,FAQ,29/11/2024,5000,5500,5000
Kerala,Alappuzha,Harippad,"Bottle gourd",Other,FAQ,29/11/2024,1000,1400,1000
Kerala,Alappuzha,Harippad,Cowpea(Veg),Other,FAQ,29/11/2024,4000,4500,4000
Kerala,Pathanamthitta,"Pramadom VFPCK",Tapioca,Tapioca,FAQ,29/11/2024,1000,4500,3300
Kerala,Thirssur,Irinjalakkuda,Banana,Other,Large,29/11/2024,5000,5000,5000
Kerala,Thirssur,Irinjalakkuda,Brinjal,Other,FAQ,29/11/2024,3000,3000,3000
Kerala,Thirssur,Irinjalakkuda,Potato,Other,FAQ,29/11/2024,3500,3500,3500
"Madhya Pradesh",Seoni,Palari,Maize,Yellow,FAQ,29/11/2024,2222,2235,2235
Punjab,kapurthala,Sultanpur,Garlic,Other,FAQ,29/11/2024,3500,4000,4000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )",Ashgourd,Gouard,Local,29/11/2024,2500,3000,3000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )",Coconut,Coconut,Local,29/11/2024,1600,2000,2000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )","Green Chilli","Green Chilly",Local,29/11/2024,3300,4000,4000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )","Mango (Raw-Ripe)","Mango - Raw-Ripe",Local,29/11/2024,4200,5000,5000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )","Onion Green","Onion Green",Local,29/11/2024,6000,8000,8000
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,Brinjal,Brinjal,FAQ,29/11/2024,900,1100,1000
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,Onion,Red,FAQ,29/11/2024,3100,3300,3200
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,Potato,Desi,FAQ,29/11/2024,2300,2500,2400
Gujarat,Narmada,Rajpipla,Banana,Other,Large,29/11/2024,2010,3025,2650
Haryana,Gurgaon,Gurgaon,Cauliflower,Other,FAQ,29/11/2024,2000,4000,3000
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Kinnow,Kinnow,Medium,29/11/2024,4200,4400,4300
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Tinda,Other,FAQ,29/11/2024,5200,5500,5300
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Tomato,Tomato,FAQ,29/11/2024,4100,4300,4200
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Turnip,Other,FAQ,29/11/2024,3300,3400,3350
"Himachal Pradesh",Kangra,Palampur,"Bhindi(Ladies Finger)",Other,FAQ,29/11/2024,7400,7500,7450
"Himachal Pradesh",Kangra,Palampur,Cabbage,Cabbage,FAQ,29/11/2024,2700,2800,2750
"Himachal Pradesh",Kangra,Palampur,Capsicum,Capsicum,FAQ,29/11/2024,3800,4000,3900
"Himachal Pradesh",Kangra,Palampur,Cauliflower,Cauliflower,FAQ,29/11/2024,4800,5000,4900
"Himachal Pradesh",Kangra,Palampur,Garlic,Average,FAQ,29/11/2024,30000,35000,32000
"Himachal Pradesh",Kangra,Palampur,"Indian Colza(Sarson)",Other,FAQ,29/11/2024,2800,3000,2900
"Himachal Pradesh",Kangra,Palampur,"Peas Wet",Other,FAQ,29/11/2024,5800,6000,5900
"Himachal Pradesh",Kangra,Palampur,Pomegranate,Other,Medium,29/11/2024,13000,13500,13200
"Himachal Pradesh",Kangra,Palampur,Potato,Other,FAQ,29/11/2024,3000,3200,3100
Kerala,Alappuzha,Harippad,Amaranthus,Other,FAQ,29/11/2024,5000,5500,5000
Kerala,Alappuzha,Harippad,Brinjal,Other,FAQ,29/11/2024,3000,3500,3000
Kerala,Alappuzha,Harippad,Cucumbar(Kheera),Other,FAQ,29/11/2024,3000,3500,3000
Kerala,Pathanamthitta,"Pramadom VFPCK",Ashgourd,Ashgourd,FAQ,29/11/2024,800,1000,900
