Type of Crops,Crops ,Variety name,Year ,Remarks/ development by 
Fruit Crops ,Banana,Udhayam,2005,"Released by NRC for banana, Trichy"
Fruit Crops ,Guava,Shweta,2005,"Released by CISH, Lucknow"
Fruit Crops ,Citrus- Acid- Lime,Khagzi lime clone-PDKV,2006,Released under AICRP on Tropical Fruits
Fruit Crops ,Citrus- Acid- Lime,Balaji,2006,Released under AICRP on Tropical Fruits
Fruit Crops ,Grape,Clonal Selection A- 17/3,2006,"Released by NRC for Grapes, Pune"
Fruit Crops ,Grape,"Manjari naveen, Red Globe ",2008,"Released by NRC for Grapes, Pune"
Fruit Crops ,Ber,Thar Sevika,2006,"Released by CIAH, Bikaner"
Fruit Crops ,Ber,Thar Bhubharaj,2007,"Released by CIAH, Bikaner"
Fruit Crops ,Aonla,Goma Aishwarya,2006,"Released by CIAH, Bikaner"
Fruit Crops ,Apple,"Sweet Red, Satai Gold",2007,"Released by Dr YSPUHF, Solan"
Fruit Crops ,Apple,"Shalimar Apple- 1, Shalimar Apple-2",2008,"Released by Dr YSPUHF, Solan"
Fruit Crops ,Apricot,EMA Selection,2007,"Released by Dr YSPUHF, Solan"
Fruit Crops ,Nectarine,Silver King,2007,"Released by Dr YSPUHF, Solan"
Fruit Crops ,Walnut,"Sarwari, K-12, KN-5, SH-23, SR-11",2007,"Released by Dr YSPUHF, Solan"
Vegetable crops,Brinjal,Kashi Prakash (IVBR-i),2005,"Punjab, UP, Bihar, West Bengal"
Vegetable crops,Brinjal,Swarna Shobha (HABR-4),2005,"Jharkhand, Bihar, UP, Punjab, Gujarat"
Vegetable crops,Cauliflower,Kashi Kuwari (IVCE-2),2005,"UP, Bihar, Delhi"
Vegetable crops,Chilli,Arka Suphal (PMR 57/88 K),2005,"Tamil Nadu, Karnataka, Kerala"
Vegetable crops,Chilli,Gujarat Veg. Chilli-101 (Anand Jyot 101),2005,"Maharashtra, Gujarat"
Vegetable crops,Chilli,Kashi Anmol (KA-2),2005,"UP, Uttarakhand, Odisha, Karnataka, Tamil Nadu"
Vegetable crops,Chilli,Prasanth (LCA-334),2005,"Maharashtra, UP, Bihar, Punjab, Odisha, Andhra Pradesh, MP"
Vegetable crops,Chilli,"Arka sweta, Arka Meghana",2007,"Released by IIHR, Bangalore"
Vegetable crops,Cowpea,Kashi Shyamal (IVRCP-1),2005,"UP, Bihar, MP, Jharkhand, Chhattisgarh, Odisha, West Bengal"
Vegetable crops,Garlic,Jamun Safed – 4(G-323),2005,"Karnataka, Tamil Nadu, Andhra Pradesh, Maharashtra"
